Date,S&P500,200MA,Trend,FFR,CPI_YoY,Real_Rate,M2_YoY,Consumer_Sentiment,Macro_Score,Valuation_Score,Sentiment_Score,Total_Score,Risk_Level,Cash_Percent
2025-01-02,5869,5555,bullish,4.33,3.03,1.30,3.5,72,0.15,0.00,0.20,0.17,Neutral,40
2025-02-03,5995,5635,bullish,4.33,2.83,1.50,3.4,65,0.15,0.00,0.20,0.12,Neutral,40
2025-03-03,5850,5723,bullish,4.33,2.43,1.90,3.5,57,0.15,0.00,0.20,0.12,Neutral,40
2025-04-01,5633,5761,bearish,4.33,2.33,2.00,4.0,52,0.15,0.00,-0.20,0.00,Neutral,40
2025-05-01,5604,5746,bearish,4.33,2.33,2.00,4.0,52,0.15,0.00,-0.20,0.00,Neutral,40
2025-06-02,5936,5788,bullish,4.33,2.63,1.70,4.2,61,0.15,0.00,0.20,0.12,Neutral,40
2025-07-01,6198,5836,bullish,4.08,2.48,1.60,4.5,62,0.15,0.00,0.20,0.12,Neutral,40
2025-08-01,6238,5901,bullish,4.33,2.93,1.40,4.4,58,0.15,0.00,0.20,0.12,Neutral,40
2025-09-02,6416,5962,bullish,4.33,3.13,1.20,4.5,55,0.15,0.00,0.20,0.12,Neutral,40
2025-10-01,6711,6024,bullish,,,,,54,0.15,0.00,0.20,0.12,Neutral,40
2025-11-03,6852,6116,bullish,3.72,2.52,1.20,4.3,51,0.15,0.00,0.20,0.12,Neutral,40
2025-12-01,6813,6181,bullish,,,,,,0.00,0.00,0.20,0.06,Neutral,40
